title,summary,link,published_date,source
Children among 13 killed in Israel’s attacks on Gaza amid aid blockade,"Cancer and diabetes patients among those suffering from Israel's ban on entry of all items, including medicine, in Gaza.",https://www.aljazeera.com/news/2025/5/10/israel-kills-in-gaza-as-it-throttles-enclave-under-aid-blockade?traffic_source=rss,2025-05-10 11:36:53,Al Jazeera
Qatar leads Syria search for bodies of US hostages killed by ISIL: Report,"The search and rescue group has found the remains of three unidentified bodies so far, according to anonymous sources.",https://www.aljazeera.com/news/2025/5/10/qatari-mission-searches-for-bodies-of-us-hostages-killed-by-isil-in-syria?traffic_source=rss,2025-05-10 10:21:07,Al Jazeera
Iraq look to former Australia coach Arnold to boost 2026 World Cup hopes,Iraq replaces Jesus Casas as head coach with former Australia boss Graham Arnold ahead of crunch World Cup qualifiers.,https://www.aljazeera.com/sports/2025/5/10/iraq-look-to-former-australia-coach-arnold-to-boost-2026-world-cup-hopes?traffic_source=rss,2025-05-10 09:43:04,Al Jazeera
Pakistan launches Operation Bunyan Marsoos: What we know so far,Pakistan and India fired missiles at each other's airbases in the latest escalation between the neighbours.,https://www.aljazeera.com/news/2025/5/10/pakistan-launches-operation-bunyan-marsoos-what-we-know-so-far?traffic_source=rss,2025-05-10 09:39:23,Al Jazeera
Pakistan postpones PSL T20 cricket amid clashes with India,"Pakistan postpones its Twenty20 league indefinitely, scrapping UAE relocation plan, as tension with India escalates.",https://www.aljazeera.com/sports/2025/5/10/pakistan-postpones-psl-t20-cricket-amid-clashes-with-india?traffic_source=rss,2025-05-10 08:59:20,Al Jazeera
Nuggets outlast Thunder in Game 3 overtime thriller in NBA playoffs,Denver Nuggets bounce back from a huge Game 2 loss to OKC Thunder to steal a 2-1 series lead in their playoff series.,https://www.aljazeera.com/sports/2025/5/10/nuggets-outlast-thunder-in-game-3-overtime-thriller-in-nba-playoffs?traffic_source=rss,2025-05-10 08:13:49,Al Jazeera
"Russia-Ukraine war: List of key events, day 1,171","These are the key events on day 1,171 of Russia’s war on Ukraine.",https://www.aljazeera.com/news/2025/5/10/russia-ukraine-war-list-of-key-events-day-1171?traffic_source=rss,2025-05-10 08:06:25,Al Jazeera
European leaders in Ukraine’s Kyiv press Russia for 30-day ceasefire,The Kremlin dismisses demands of an unconditional 30-day truce and threat of sanctions as 'confrontational'.,https://www.aljazeera.com/news/2025/5/10/european-leaders-in-ukraines-kyiv-to-press-russia-for-30-day-ceasefire?traffic_source=rss,2025-05-10 08:02:39,Al Jazeera
Netanyahu’s war choices fuel discord in Israel over captives’ fate in Gaza,"Israeli reservists increasingly refuse duty, citing exhaustion from repeated tours supporting a war with no clear end.",https://www.aljazeera.com/news/2025/5/10/netanyahus-war-choices-fuel-discord-in-israel-over-captives-fate-in-gaza?traffic_source=rss,2025-05-10 07:11:05,Al Jazeera
"After Israel’s bombs, Nabatieh’s Monday Market revives itself once again","Nabatieh's weekly market was destroyed in Israel's war on Lebanon, but vendors and customers are returning.",https://www.aljazeera.com/features/2025/5/10/after-israel-bombs-nabatieh-monday-market-revives-itself-once-again?traffic_source=rss,2025-05-10 07:10:40,Al Jazeera
Reporting from behind shifting front lines in Myanmar’s civil war,Journalists with the Shan State-based news outlet Shwe Phee Myay continue to report amid civil war and repression.,https://www.aljazeera.com/news/2025/5/10/reporting-from-behind-shifting-front-lines-in-myanmars-civil-war?traffic_source=rss,2025-05-10 03:38:43,Al Jazeera
"Could India, Pakistan use nuclear weapons? Here’s what their doctrines say",A full-blown war between India and Pakistan would be the first ever between two nuclear-armed nations.,https://www.aljazeera.com/news/2025/5/10/could-india-pakistan-use-nuclear-weapons-heres-what-their-doctrines-say?traffic_source=rss,2025-05-10 03:37:37,Al Jazeera
Newark Mayor Ras Baraka arrested during ICE detention centre protest,"US attorney says Baraka 'committed trespass' during protest of facility, which he argues opened without proper permits.",https://www.aljazeera.com/news/2025/5/9/newark-mayor-ras-baraka-arrested-during-ice-detention-centre-protest?traffic_source=rss,2025-05-09 23:13:15,Al Jazeera
"World could be witnessing ‘another Nakba’ in Palestine, UN committee warns","Israel's priority is a 'wider colonial expansion', the committee on Israeli practices in occupied territories said.",https://www.aljazeera.com/news/2025/5/9/gaza-could-experience-another-nakba-warns-un-committee?traffic_source=rss,2025-05-09 21:32:52,Al Jazeera
US reports second air traffic control outage at New Jersey airport,The Trump administration is facing pressure to modernise air traffic control systems and hire more staff.,https://www.aljazeera.com/news/2025/5/9/us-reports-second-air-traffic-control-outage-at-new-jersey-airport?traffic_source=rss,2025-05-09 21:05:15,Al Jazeera
"India, Pakistan exchange claims over drone strikes",India and Pakistan have been trading drone and artillery strikes in some of the most intense fighting in nearly 30 years,https://www.aljazeera.com/program/newsfeed/2025/5/9/india-pakistan-exchange-claims-over-drone-strikes?traffic_source=rss,2025-05-09 20:57:39,Al Jazeera
"Mexico is suing Google over ‘Gulf of America’ label, Sheinbaum says","Mexico has called on Google to not change the name of the Gulf of Mexico for US users, despite Trump's executive order.",https://www.aljazeera.com/news/2025/5/9/mexico-is-suing-google-over-gulf-of-america-label-sheinbaum-says?traffic_source=rss,2025-05-09 20:49:29,Al Jazeera
"Barcelona vs Real Madrid: El Clasico La Liga start time, team news, lineups","Al Jazeera takes a look at the fourth El Clasico of the season, and one that is set to be pivotal for the La Liga title.",https://www.aljazeera.com/sports/2025/5/9/barcelona-vs-real-madrid-la-liga-el-clasico-team-news-how-to-follow?traffic_source=rss,2025-05-09 20:38:22,Al Jazeera
Mohsen Mahdawi tells Al Jazeera why he refuses to be afraid,Palestinian peace activist Mohsen Mahdawi recounted his arrest and imprisonment to Al Jazeera’s Kristen Saloomey.,https://www.aljazeera.com/video/newsfeed/2025/5/9/mohsen-mahdawi-tells-al-jazeera-why-he-refuses-to-be-afraid?traffic_source=rss,2025-05-09 20:19:13,Al Jazeera
